Fly Ash (%),Lime (%),Cement (%),Liquid Limit LL (%),Plastic Limit PL (%),OMC (%),MDD (g/cm³),CBR (%),UCS (kg/cm²)
0,0,0,54.78,29.38,16.43,1.7747,3.862,0.8097
0,0,2,50.2848,24.272,16.8324,1.76714,4.15,0.96718
0,0,4,47.1072,21.348,17.2236,1.76446,4.4964,0.96082
0,0,6,45.2472,20.608,17.6036,1.76666,4.9012,0.99062
0,2,8,44.7048,22.052,17.9724,1.77374,5.3644,1.15658
0,2,0,54.424,30.5,17.4836,1.74162,4.4392,1.11166
2,2,2,50.2836,25.928,18.1012,1.7258,4.69566,0.977296
2,2,4,47.4608,23.54,18.1076,1.7382,5.01232,0.979092
2,4,6,45.9556,23.336,18.4028,1.70724,5.38648,1.117048
2,4,8,45.768,25.316,18.686,1.70554,5.81904,1.11564
2,4,0,53.68,31.02,18.3004,1.72318,4.8372,1.11152
4,4,2,49.3824,26.984,18.5532,1.69806,5.06392,0.989332
4,4,4,46.9144,25.132,18.7748,1.67782,5.34904,0.99284
4,4,6,45.764,25.464,18.9852,1.66246,5.69256,1.045396
4,6,8,45.9312,27.98,19.1844,1.65198,6.09448,1.127668
6,6,0,51.012,30.94,18.9404,1.71938,5.056,1.02134
6,6,2,47.5812,27.44,19.0884,1.68548,5.25208,1.003288
6,6,4,45.468,26.124,19.2252,1.65646,5.50656,1.021396
6,6,6,44.6724,26.992,19.3508,1.63232,5.81944,1.075664
6,8,8,45.1944,30.044,19.4652,1.61306,6.19072,1.066092
8,8,0,47.956,30.26,19.3436,1.73022,5.0956,1.02906
8,8,2,44.88,27.296,19.4068,1.68754,5.26104,1.019164
8,8,4,43.1216,26.516,19.4588,1.64974,5.48488,1.045428
8,8,6,42.6808,27.92,19.4996,1.61682,5.76712,1.107852
8,8,8,43.5576,31.508,19.5292,1.58578,6.10776,1.206436
5,0,0,50.8775,27.01,16.55875,1.7256,4.10575,1.0593
5,0,2,46.8883,22.604,16.93085,1.72451,4.43685,1.02681
5,0,4,44.2167,20.382,17.29175,1.7283,4.82635,1.03048
5,0,6,42.8627,20.344,17.64145,1.73697,5.27425,1.07031
5,0,8,42.8263,22.49,17.97995,1.75052,5.78055,1.1463
5,2,0,50.8425,29.528,17.65515,1.69749,4.68985,1.06185
5,2,2,47.2081,25.658,17.94245,1.68762,4.99031,1.037516
5,2,4,44.8913,23.972,18.21855,1.68263,5.34917,1.049342
5,2,6,43.8921,24.47,18.48345,1.68252,5.76643,1.097328
5,2,8,44.2105,27.152,18.73715,1.68729,6.24209,1.181474
5,4,0,42.9075,21.146,18.53275,1.682,5.09475,1.06632
5,4,2,46.6279,28.112,18.73725,1.66537,5.36457,1.050142
5,4,4,44.6659,26.962,18.92855,1.6516,5.69279,1.070124
5,4,6,44.0215,27.996,19.10865,1.64271,6.07441,1.12666
5,4,8,44.6947,31.214,19.27755,1.6387,6.52443,1.218568
5,6,0,48.0725,32.764,19.19755,1.68519,5.32045,1.07271
5,6,2,45.1477,29.966,19.31525,1.65776,5.55963,1.064688
5,6,4,43.5405,29.352,19.42175,1.63521,5.85721,1.092826
5,6,6,43.2509,30.922,19.51705,1.61754,6.21319,1.157124
5,6,8,44.2789,34.676,19.60115,1.60475,6.62757,1.257582
5,8,0,45.3375,33.482,19.64355,1.701,5.36695,1.08102
5,8,2,42.7675,31.22,19.67645,1.66479,5.57549,1.081154
5,8,4,41.5151,31.142,19.69815,1.63346,5.84243,1.117448
5,8,6,41.5803,33.248,19.70865,1.60701,6.16777,1.189902
5,8,8,42.9631,37.538,19.70975,1.58544,6.55151,1.298516
10,0,0,47.93,24.33,18.896,1.6709,4.388,1.0878
10,0,2,44.4468,20.626,17.2378,1.67628,4.7622,1.06534
10,0,4,42.2812,19.106,17.5684,1.68654,5.1948,1.07904
10,0,6,41.4332,19.77,17.8878,1.70168,5.6858,1.0829
10,2,8,41.9028,22.618,18.196,1.7217,6.2352,1.31492
10,2,0,48.216,28.246,18.0352,1.64776,4.979,1.09094
10,2,2,45.0876,25.078,18.2922,1.64436,5.32256,1.076636
10,2,4,43.2768,24.094,18.538,1.64584,5.72452,1.098492
10,4,6,42.736,25.294,18.7726,1.6522,6.18488,1.156508
10,4,8,43.608,28.678,18.996,1.63344,6.7084,1.350684
10,4,0,47.602,31.562,18.9576,1.63926,5.3968,1.096
10,4,2,44.8284,28.93,19.1298,1.62708,5.70372,1.089852
10,4,4,43.3724,28.418,19.2908,1.61778,6.0504,1.119864
10,6,6,43.234,30.28,19.406,1.61936,6.4576,1.186036
10,6,8,44.4132,34.138,19.5792,1.61982,6.99288,1.288368
10,6,0,46.088,34.278,19.6632,1.6454,5.6234,1.10298
10,6,2,43.6692,32.18,19.7506,1.62444,5.90568,1.104988
